Do you consider yourself to be an nf-core...?,What do you like most about nf-core?,What have been your biggest difficulties with nf-core?,Any other feedback on nf-core?,Positive Tags,Improvement Tags,Request tags,Comments James
"Developer, User","it's a very responsive community, you can get help on many topics related to the pipelines, modules and tools. There's a good atmosphere","In a big community the opinions are diverse and sometimes it's difficult to find a consensus, discussions are extended over time without a clear outcome. Sometimes it's also difficult to collaborate to existing pipelines, but we can't add a new one due to some overlap.",I like nf-core a lot :),"Community expertise, Community feel, Speed of responses","Communication, Opaque decision making, How to get involved, Pipeline proposals procedure unclear",No feedback,
"User, Developer","Nextflow trainings, Bytesizes, Hackathons, and Nextflow Summit",None,None,Documentation/training,No feedback,No feedback,
Developer,"I think, there are some good policies in place. I like that collaboration on pipelines is enforced, rather than just being a pipeline repository collecting multiple different workflows for the same task.","Admittedly Nextflow. Why couldn't you build the same great community around a Pythonic workflow system? Also, I see the role of Seqera quite ambivalent. Yes, they are maintaining Nextflow and providing many resources for free (such as the containers), but are also clearly imposing some changes on the community with business interest in mind. Of course, other companies could contribute as well (and are not doing it much), but the dominance of Seqera (considering how many leading nf-core people are on their payroll) is clearly unhealthy from a community aspect.","Develop a sustainability strategy. What I mean by that: The incentives for developing a pipeline and getting it into nf-core are high. A new pipeline can be published, and nf-core creates exposure and provides a solid base to build on. However, like with every open source project, the maintenance is tedious, but usually not very glamorous. For some of the biggest nf-core pipelines, the lead developers have essentially resigned and taken over new tasks. That is fair. But it is also a problem, because whoever fills that gap can hardly write a new paper. The same goes for those that maintain the website or tools. I do not have a solution to that, but the problem will only get more pressing the older nf-core gets, so it would be good to start addressing it.","Community structure, Collaborative policies","Commerical Interests, Nextflow itself",Better sustainability,"We like Nextflow...? You can write new papers (but need more examples), fair enough better passing on docs"
Developer,"Reproducibility, Interchangeability of modules/pipelines, nf-tools as a convenient tool for almost every task with pipeline management/execution/...",Adopting nf-core to new domains,Guidelines could be more precise. I often find myself in a situation where I'm not 100% sure how certain situations in pipeline development are handled.,"Reproducibility, Modularity/sharing of components",Bioinformatics bias,Clearer standards,
Developer,reproducibility,standarisation,,Reproducibility,Standards unclear,No feedback,
"User, Developer",automation and reproducibility,unclear error messages,better and clearer warnings and error messages,Reproducibility,Nextflow itself,Better Nextflow,
User,"Friendliness, community feeling, and the pipelines work really well, which at the end of the day is the most important.",,,"Community feel, High quality pipelines",No feedback,No feedback,
User,"The application of common structure and patterns among different pipelines - when you learn one, it's easier and faster to get started with a different one.",Confusion when different pipelines are not equally developed - what is supposed to work among all pipelines might actually not work equally in all of them,Keep up the good work! I really like the idea of a centralized set of best-practice pipelines,Template consistency,Variable pipeline quality,No feedback,
Developer,Collaborative programming & learning from experienced developers,"The large and perhaps sometimes excessive amount of rules or good practices. This makes nf-core good, but not always easy for new members.","Would love to one day have within nf-core tools to be able to run standalone module (or subworkflows) pipelines - similar to bactopia

ie. `nf-core module run fastp -input `samplesheet.csv` -args '--trim_x ... ' -args2 'some_more_custom_args' -pipeline custom/repo/of/pipeline ` 
The custom/repo/of/pipeline is important for reproducibility purposes
I believe this will make nf-core pipelines appeal to a much wider applications. Also, the meta.yml files  can be used with nf-schema to validate the input samplesheet. 

Thx!","Collaborative policies, Community expertise",Overly strict standards,Single module pipelines,Maxime ;)
Developer,Discussions on slack,,It is great.,Use of slack,No feedback,No feedback,
"Developer, User","Simplicity of running jobs, configurability",Chaining two pipeline together,"Possibility to chain pipelines together,",Pipeline flexibility,Pipeline chaining,Pipeline chaining,
User,Ease of use,,,Ease of use,No feedback,No feedback,
Newbie,learning and interacting,,,"Inclusivity, Community expertise",No feedback,No feedback,
User,Easy to find the right pipeline and the tube diagrams make it easy to explain the steps to new users,"Honestly haven't had many! Sometimes pipelines get very big and break on steps I don't care about, so maybe they should split into smaller pipelines if they get unwieldy?",Long-read 16S metagenomics pipeline please!,"Website, Tubemaps",Pipelines too big/complex,New pipeline,
"User, Developer","Setting opinionated standards and frameworks for bioinformatic pipelines, including developer tooling. These kinds of things allow me to use nf-core content in non-nf-core pipelines, which makes all the content of nf-core a huge asset for bioinformatics at large.","While the opinionated standards previously mentioned are great, them being opinionated also means that they are not always perfect for all situations, which is fine. I have experienced, however, that it can be difficult being heard while voicing new ideas or changes to the standards, and I get the feeling that the standards are held close in the core team's hands. This is, in general, a good thing (i.e. having a core team with a clear vision), but I do feel the communication could become better - saying why a change is deemed bad/undesired, for example, rather than letting the discussion fade away in Slack.","The nf-core community and all its content really is amazing! While I don't use the pipelines themselves that much, the modules are subworkflows are great additions to many of the projects I work with, and they really do speed up the development process. The latest template changes that allow greater granularity for inclusion/exclusion of various template parts is great, and I think continuing in this vein is the way to go: keep doing great pipelines with the nf-core standards, but facilitate people working with the nf-core tooling to make non-nf-core pipelines of their own. I feel that the modules really are the best part of nf-core overall, and allowing them to be used in external pipelines really does contribute immensely to bioinformatics at large.","Collaborative policies, Template consistency, Modularity/sharing of components","Communication, Overly strict standards",No feedback,
Developer,Guiding/interaction through slack. Community events.,Organising the reviews of huuuuge pipeline PRs maybe? ( also fixing typos in their questionnaire :P ),,Use of slack,Reviews problems,No feedback,
Developer,Templates and community,"Test suit, debugging",,"Template consistency, Community feel",Debugging CI,No feedback,
"User, Developer",Well documented pipelines,I think the documentation for Nextflow is too dense and needs more examples and use cases with detailed explanations of what the lines of code mean,Thank you!,Documentation/training,Nextflow itself,No feedback,
Developer,"I appreciate how the nf-core community openly shares both the results of its work and the related expertise, using a permissive license and an open-source platform.",There are now so many projects that it is difficult to keep up to date with all the pipelines available,,Open source,Misc,No feedback,
"User, Developer",Great communication and good documentation,People are very occupied,,"Speed of responses, Documentation/training",Misc,No feedback,"Everyone are volunteers, nothing can do about this unless you get your employers to donate"
Developer,Broad technical support and quality control,"Random technical gremlins (CI runners, template etc.)",Faster reviews would be great sometimes,"Speed of responses, High quality pipelines","Debugging CI, Template complexity",Review coordination,
User,Helpful people on Slack; thorough documentation,pipeline updates are sometimes slow (bug fixes or new features),Keep up the good work!,"Speed of responses, Community expertise, Documentation/training",Tool release speed,No feedback,
User,community and accessible,"troubleshooting, data integration, multi-om","More tutorials with videos. Not only RNAseq, but also ATAC, share-seq, Hi-C, etc","Inclusivity, Community feel",Documentation (newcomer developer),Better documenation,
Developer,"The community itself, being able to ask questions, Templates!","Documentation was a struggle 2 years ago, but it improved significantly. While the templates are amazing, during last year, there were too many template updates in a short time.","I think there needs to be an additional documentation for nf-core modules themselves - letting developers know which parameters can be added, how specifically, even if there are a lot of parameters in the original tool's documentation.","Inclusivity, Community feel, Template consistency","Tool release speed, Documentation (writing pipelines)",Better documenation,
"User, Developer","nice reactive community, workflows work out of the box","creating modules+tests, get them accepted",N/A,"High quality pipelines, Speed of responses, Community feel","Documentation (newcomer developer), Debugging CI",No feedback,
User,,,,No feedback,No feedback,No feedback,
Developer,,There are a lot of amazing pipelines written on nextflow language apart from nf-core community. It would be nice to have a common umbrella to be aware of other projects 😊,,No feedback,Misc,No feedback,Nextflow pipelines
"User, Developer","Structured guidelines which are community led. 
Tooling which greatly enhances the use of nextflow. 
Knowledge base","At times things move too fast or without sufficient consultation/testing. This can lead to confusion and errors. 

Occasionally opaque decision-making on fundamental issues.",Keep fighting the good fight 👊,"High quality infrastructure, Template consistency","Communication, Opaque decision making, Tool release speed",No feedback,
"Developer, User","The plethora of pipelines and modules available, and the very large community, and the relatively low barrier of entry for contributing. Also the emphasis on reproducibility.","There are a lot of quirks with the Nextflow language that aren't clearly explained (e.g. `params` handling), this is in particular true when new pipelines are developed. This raises the bar for new contributors. 
The second biggest gripe is Slack. Yes, I know this won't change, but everything in Slack is unavailable to search engines, so questions are bound to be answered over and over again.",There can't be enough memes!,"Analytical diversity, Community expertise, Inclusivity, Reproducibility","Nextflow itself, Use of slack",More memes,
User,Support to users is great and fast. Love the channels in Slack.,"To initiate, sometimes need more examples.",,"Speed of responses, Use of slack","Documentation (newcomer developer), Documentation (newcomer user)",No feedback,
Developer,Provision of a whole ecosystem,,,High quality infrastructure,No feedback,No feedback,
User,The community,Understanding the logic behind the code (groovy syntax),,Community feel,Nextflow itself,No feedback,
Developer,"Friendly, helpful community
Fun!
Easy-to-use tooling","Tooling is not so user-friendly working with non-official nf-core pipelines - some useful functionality (e.g. writing pipeline schemas) could be helpfully spun-out into separate tools

Otherwise, few difficulties!",nf-schema samplesheet schema tool!!!!!,"Community feel, Inclusivity, Ease of use, High quality infrastructure",Non-official nf-core pipeline support,Schema tooling,Splitting out is on the way! I think samplesheet schema tooling too
User,,,,No feedback,No feedback,No feedback,
Developer,Flexibility and community,,,"Community feel, Analytical diversity",No feedback,No feedback,
User,"Singularity
Resuming nextflow pipelines",,,Nextflow itself,No feedback,No feedback,
"User, Developer","Reference pipeline, easy to use and portable.",One pipeline not UpToDate (nanopore). Lacking nix/Guix support :(,,"High quality pipelines, Reproducibility","Nextflow itself, Variable pipeline quality",No feedback,
"User, Developer",The friendliness,The increasing learning curve that comes with a higher degree of sophistication of the tools,,"Community feel, Inclusivity","Documentation (newcomer developer), Documentation (writing pipelines), Tools quality",No feedback,
Developer,the supportive community,template updates,no more messing with the CI!,"Community feel, Inclusivity",Tool release speed,More stable CI,
User,"Data flow orchestration, reproducibility, able to run on different environments, possibility to resume run","deplyoment on our shared HPC, with strict rules about usage",,"Nextflow itself, Reproducibility",Documentation (configs),No feedback,
,The people,"Tools, Cutting releases, updating linting",A clear path to being on the core team,Community feel,"Tool release speed, Template complexity, Tools quality",Transparent procedures,
,Fluid group of friendly people,Self hosted runners 😬,,"Community feel, Inclusivity",Debugging CI,No feedback,
,This and that,None,Nope,No feedback,No feedback,No feedback,
User,Well tested and maintained,"As an unexperienced user, it is hard to modify the pipelines based on our needs.",More advanced tutorials,"High quality pipelines, Long term maintaince","Documentation (newcomer user), Documentation (pipeline usage)",Better documenation,
"User, Developer","The provided code in form of pipelines, modules and workflows and the nice people",,,"Template consistency, Community feel",No feedback,No feedback,
"Developer, Maintainer","The community, the energy and the support",,,Community feel,No feedback,No feedback,
Developer,"best practice pipelines, ensure reproducibility, helpful community","nextflow, nextflow and nextflow

steep learning curve to start developing",,"High quality pipelines, Reproducibility, Community expertise","Nextflow itself, Documentation (newcomer developer), Documentation (writing pipelines)",No feedback,Then make your own snakemake nf-core ;)
User,"community, user friendly to run pipelines",developing pipelines,,"Ease of use, Community feel","Documentation (newcomer developer), Documentation (writing pipelines)",No feedback,
User,,Corporate control,,No feedback,Commerical Interests,No feedback,"Richard Stallman, is taht you?"
"Developer, User, Manager",Fast pace. Comprehensiveness. Documentation. Shareability. Standards,"The pace of change, which 1) often breaks backwards compatibility and 2) brings new issues (often we need to wait a point release to get things stable)",Please complete the migration to Seqera containers !,"Speed of responses, Analytical diversity, Documentation/training, Reproducibility",Tool release speed,Seqera containers,
User,tackles problems i need to use on  regular basis/bioinformatic issues,the first start,provide more examples,Analytical diversity,Documentation (newcomer user),Better documenation,
User,Stability,None,None,High quality pipelines,No feedback,No feedback,
User,Standardized modules,Cross repo awareness in tooling,"Focus on the tooling, not the pipelines",Template consistency,Tools quality,Better tooling,
User,nf-core pipelines,"understanding the options in one pipeline. many options or parameters are not defined clearly, so i have to try many time to figure it out. Being a PhD student without help is tough to do this.","more simple example tutorials for building a small pipeline, including the singularity",High quality pipelines,"Pipelines too big/complex, Documentation (pipeline usage)",Better documenation,Don't think we can help with the end of the universe sorry
"User, Developer",Responsiveness and inclusiveness together with high quality tools and documentation.,I did not have particular difficulty interacting with the community,keep up the good work!,"Inclusivity, Speed of responses, High quality infrastructure, Documentation/training",No feedback,No feedback,
User,"Wide variety of standardized pipelines using the latest and greatest tools, subject area expert developers working in a standardized, reproducible framework.","some pipelines are more robust than others, and the less robust ones are difficult to fix because the modules are a bit complicated. For early stage pipelines, it may make it easier to have them as a monorepo.",Thank you for answering ALL the questions on Slack.,"Analytical diversity, Community expertise",Variable pipeline quality,No feedback,
Developer,Community support,The pipelines are bloated with a lot of different options and features so there's a big learning curve getting started and running your first one,,Inclusivity,Pipelines too big/complex,No feedback,
"User, Developer","Reusable modules, ready to use pipelines for common tasks, extensive documentation and guidelines",Getting reviews :-),,"Modularity/sharing of components, Analytical diversity, Documentation/training",Reviews problems,No feedback,
"User, Developer",,,,No feedback,No feedback,No feedback,
"Developer, User",Variety of workflows,Many are too complex and try to cover too many scenarios.,A lot of containers used in nf-core workflows have severe CVE warnings when scanned. This is concerning that people are using these when analyzing human data.,Analytical diversity,Pipelines too big/complex,Security concerns,
Developer,"great documentation, helpful slack community","nextflow itself lacks some amount of documentation, so that can be a challenge",,"Community feel, Inclusivity, Documentation/training",Nextflow itself,No feedback,
"User, Developer",Fostering a community of users and developers,"Keeping up to date. Every time I come back to the community there are large changes, though I know this is largely because both Nextflow and nf-core feed each other's development.","It's a wonderful ecosystem. I think the challenge will be long-term maintenance of workflows and how to deal with those which lose developers. In other words what is the life cycle of the code, and what is the policy if there are no maintainers for a specific workflow?","Inclusivity, Community feel",Tools quality,Better sustainability,I guess need document how criteria/procedures for archiving pipelines (also how we select pipelines - better transparence on how core/maintainers works)
non nf-core nf dev,The helpful community,"The standards being made around an unfinished DSL, which really needs time to mature first. Standards often seem to be based on philosophy over function/experience, and those guiding philosophies are themselves seemingly quite unique - development of ""good practice"" here seems to be somewhat divorced from historical programming standards. User-developers without a programming background are then learning from these standards, which makes it more difficult for sysadmins and programmers to successfully interface with these user-developers, and sets these users poorly for other programming tasks.",,"Community feel, Community expertise","Communication, Opaque decision making, Overly strict standards",No feedback,
"Developer, User","The way that the community engages with the development of tools and pipelines, it's really streamlined and easy, it feels very natural and that makes it very powerful","Everything goes very fast and for me, it has been difficult sometimes to not fall out of the loop. Unfortunately, I don't have an easy solution to this really small issue",,"Ease of use, Community feel",Tool release speed,No feedback,
"Developer, User","Great pipelines, consistent modules","Constant ""move fast and break things,"" (nf-core tools almost always has a patch release the day after a new minor release). Disregard for backwards compatibility and long-term tool support.",,"High quality pipelines, Template consistency","Tool release speed, Tools quality",No feedback,
Developer,"- guidelines
- templates and tools","- get an overview where/how things are documented
- keep up to date (esp. if it's not a day-to-day topic)","smaller stickers, I like them in general, but have to little space to use them","Template consistency, Documentation/training",Documentation (newcomer developer),More merch,We now have standardised hex stickers!
User,As a user from experimental biology background I like this as it making amazing the data I generate simple process and straight forward.,,,Ease of use,No feedback,No feedback,
User,,Lack of video tutorials,,No feedback,"Documentation (newcomer user), Documentation (newcomer developer)",No feedback,
"User, Developer","reduction of redundant structures, standardization","using nf-core modules in custom pipelines without being familiar with the entire nf-core pipeline structure;
partial lack of documentation while implementing new modules and tests","I love how helpful people are. However, it currently feels like a few very engaged individuals are carrying the majority of the load and ideally I'd love to see more people actively involved.","Template consistency, Modularity/sharing of components",Non-official nf-core pipeline support,Better support balance,
Developer,Software development principles,Documentation not always up to date,,"High quality infrastructure, High quality pipelines",Documentation (newcomer developer),No feedback,
Developer,Community,Collaboration,Some formal evaluation of best practice,Community feel,How to get involved,Clearer standards,
User,People are extremely helpful and responsive when I have questions. There are also tons of online resources and how-to guides for the software and pipelines.,"Starting is a very steep learning curve, especially if you're not familiar with computing or coding. It feels like there are not a ton of truly entry level explanations.",Not at the moment! Everyone has been very nice and welcoming.,"Speed of responses, Documentation/training",Documentation (newcomer developer),No feedback,
Developer,The pipelines are time-saving and free from any dependencies issues which make them easy to use.,"I did not have any difficulties so far, I am just a beginner. However, I would love to explore nf-core trainings in near future.",Please arrange some beginner-friendly trainings.,"Ease of use, High quality pipelines",No feedback,Better documenation,
User,Well documented ans have had good experiences with developer support,,,"Documentation/training, Community expertise",No feedback,No feedback,
snakemake developer,,Too much spam,,No feedback,Too much spam,No feedback,
Developer,Strong support. Cool guys,Language and test syntax require more material and tutorial.,"I know, it's complicate, I'd make a scientific committee to assess pipelines both at the acceptance stage, during development and over time for their maintenance",Community feel,Documentation (newcomer developer),Transparent procedures,We are awseome aren't we :sunglasses:
User,"Very helpful, friendly and welcoming community",Nothing I can think of ...,,Community feel,No feedback,No feedback,
Developer,"The community aspect over all, that makes it possible to share development resources and expertise worldwide",Going through the documentation still can be painful,,"Community feel, Community expertise, Open source",Documentation (newcomer developer),No feedback,
User,The fact that there are standards in place for pipelines where historically there really were no standards,I'd really like to see more support and examples of how to run nf-core on cluster environments. I'm a staff member at a university and this where I struggle with helping researchers. I suspect a significant fraction of nf-core users are from academia where clusters are used. I think a subgroup within the nf-core community would go a long way in this direction.,"I think Slack is the best platform for this group. Please don't switch to another platform. I heard something about the Nextflow group moving to another platform, please use Slack.","Template consistency, Documentation/training","Documentation (configs), HPC Installation and Setup",Stay with slack,
"User, Developer","Helpfulness on slack, great templates, everyone is welcoming","Developing pipelines has gotten both better and worse -- modules are awesome, but now it's even harder to figure out which file to look at when debugging. Especially for new people, the complexity of the Nextflow files is very confusing and intimidating. I wish we had a better IDE with command-Click that navigated to the process like with PyCharm",More food sponsorship for hackathons!,"Community feel, Community expertise, Inclusivity",Template complexity,More food,"Already exists with Nextflow extension of VScode, porting to others are being considered"
"User, Developer",What I like most is that there's an active community that helps me learn how to write using nextflow.,Sometimes I don't understand how some operators work even though the community tried their best to explain in to me. I think its a 'me' problem haha.,nf-core merch would be fun,"Community expertise, Community feel, Inclusivity",Nextflow itself,,We have some already?! nf-co.re/shop!
User,It's user friendly and great support from developers,Initial setup within our HPCF was tough,,"Ease of use, Community expertise","Documentation (configs), HPC Installation and Setup",No feedback,
User,plug-and-play,Getting in it to run in an offline HPC system,Good job! Please add more documentaion,Modularity/sharing of components,"HPC Installation and Setup, Offline support",Better documenation,
Developer,Smooth and reproducible execution of often complex pipelines,"Syntax was quite new to me. There are a lot of small cogs and gears to run, develop and maintain an nf-core standard pipeline. It's tricky but I enjoy iy",,Reproducibility,Template complexity,No feedback,
"User, Developer",reproducability and management of everything required for that,"nextflow language, understanding containers etc.",,Reproducibility,Nextflow itself,No feedback,
both,"The nf-core slack, where I almost always can find answers when I need help, both as developer and user","It's so huge :D As a user it can be difficult to find things, both which pipeline I want to use and how to use it. Some documentation can be improved (but that's individual pipelines, not nf-core per se)","Keep on the good work! Most important, keep the community inclusive and friendly!","Community expertise, Community feel, Inclusivity, Use of slack",Documentation (newcomer user),No feedback,
"User, Developer","support via slack, documentation via website, pipeline template to keep them running","template updates can be challenging with pipelines with longer history, communication on what happens behind the scenes (i.e. longer term strategic changes) seem to have taken speed only recently",,"Use of slack, Documentation/training, Website, Template consistency, Community expertise",Template complexity,No feedback,
"User, Developer",The friendliness of the community.,Difficult to keep up with the continuous updates,,"Community feel, Inclusivity",Tool release speed,No feedback,
User,"docs, configurability, best practices, tests",,,"Documentation/training, Template consistency, High quality pipelines",No feedback,No feedback,
User,automation,,,High quality infrastructure,No feedback,No feedback,
Developer,Open-source and great amount of pipelines,Complexity and not being able to find a proper IDE for testing changes,,"Open source, Analytical diversity",Template complexity,No feedback,
Developer,"very good in helping newcomers, positive athmosphere",nextflow is clumsy,,"Inclusivity, Community feel",Nextflow itself,No feedback,
"User, Developer",Bringing bioinformatics best-practices into live by nicely stitching them together with great docs.,"config management at pipeline and process level need extra work! maybe using some machine learning to provide allocate suitable resources based on data size, etc! just a suggestion","Thanks a lot for the effort for making organizing bioinformatics field! 
Some extra focus on long read data analysis would be great!","Template consistency, Documentation/training","Documentation (configs), HPC Installation and Setup",New pipeline,
User,"workflow building, the selection of tools, since it is a curated plateform by the bioinformatician i usually do not need to worry about the selected tools",the sample sheet problems,"very resource hungry. For those working on HPC, it is not a problem but others might have it","Ease of use, High quality pipelines",Misc,Better documenation,
Developer,"standards and best practices, collaboration, exchange",templates changes and updates,,"Collaborative policies, Modularity/sharing of components, High quality pipelines, Template consistency","Template complexity, Tools quality",No feedback,
"User, Developer",Well-defined standard practice,Unclear locations of pipeline parameters,,"High quality pipelines, Template consistency",Documentation (newcomer user),No feedback,
User,it's convenient and easy to use; don't need to worry about the versions of separate packages,getting help for specific errors/bugs within the pipeline,,"Ease of use, High quality pipelines",Documentation (newcomer user),No feedback,
"User, Developer",Providing modules and workflows for many of the most common bioinformatics tasks,"Workflows are extremely complex, which makes them difficult to modify","Module help pages often aren't sufficient for using the module, i.e. they don't show how input items are grouped into tuples",Modularity/sharing of components,Pipelines too big/complex,Better documenation,
"User, Developer","Community curated pipelines, ease of use.",slam-seq still using DSL1,,"Ease of use, High quality pipelines",Variable pipeline quality,Better documenation,
User,"For rnaseq and mag, focusing on best practices and not adding too much bloat but going beyond the very basics. For more niche pipelines, the documentation is as valuable as the pipeline.","I use nfcore on a cluster that has no easy road to using singularity clusters because of their security review process. So I'm stuck using the mamba profile. Also, configuration is a nightmare. I tried for a long time to get nfcore mag to let me queue more than 100 jobs at a time on the cluster including overriding on the command line, never found where the configuration was being overridden.","I'd love more micro pipelines and modularity. I often need to clean reads from shotgun metagenomics to use for a variety of things, but if I've already cleaned them its difficult to turn off all the steps I've done with nfcore mag.","High quality pipelines, Documentation/training","HPC Installation and Setup, Documentation (configs)",Smaller pipelines,
User,,I'm just learning about everything...so not in a position to comment at this time.,none at this time,No feedback,No feedback,No feedback,
User,,,,No feedback,No feedback,No feedback,
"User, Developer",The community,"I would like to see even more adoption of nf-core workflows as a standard in academia, especially in cores","I would like to see nf-core workflows adopted in even more university core facilities, especially. This would apply to seqera platform, also. One, I of course think nf-core workflows are better than the alternatives. But, the more nf-core workflows become de facto standards for training institutions, the more likely it is that the become de facto standards everywhere else.",Community feel,No feedback,More advertising,
User,"Don't know, I'm just starting",I didn't yet. Just starting,You should send this survey after a few months of working with it,No feedback,No feedback,Regular surveys,
User,easy to download and quick to get a pipeline started,the documentation is vastly different across workflows,,Ease of use,"Documentation (newcomer user), Variable pipeline quality",No feedback,
"Developer, User",Pre-build modules,Pre-built modules can be difficult to use,Much be an advanced bioinformatician to contribute,Modularity/sharing of components,Documentation (newcomer developer),Better documenation,
